bare_word	source_type_id	source_id	permanent_id
июль	2	2484	171187
фонд	2	2485	987445
воображение	2	2486	957480
искра	2	2489	570711
отчаяние	2	2494	881681
бизнес	2	2495	230855
болото	2	2496	508058
сэр	2	2500	609265
виза	2	2502	527681
отпуск	2	2503	414292
изображение	2	2504	703247
оценка	2	2508	193295
груз	2	2514	921056
бюджет	2	2515	592470
использование	2	2516	872036
кролик	2	2518	113620
доказательство	2	2519	801386
танец	2	2521	266733
внук	2	2523	177755
гордость	2	2524	760275
получение	2	2526	160350
стук	2	2528	498112
январь	2	2531	378951
шкура	2	2538	839468
заключение	2	2540	795054
санкт	2	2542	576470
ковёр	2	2543	759077
койка	2	2546	652596
недостаток	2	2548	577888
наличие	2	2550	971132
статус	2	2552	605582
поход	2	2553	330971
училище	2	2554	304411
рыцарь	2	2557	170741
прибор	2	2558	324252
выборы	2	2559	674571
карточка	2	2563	669221
государь	2	2564	557007
путешествие	2	2568	300238
зритель	2	2569	854629
империя	2	2572	979128
девка	2	2573	148287
давление	2	2574	135705
патрон	2	2575	802119
мина	2	2576	359399
спектакль	2	2578	550543
хрен	2	2580	265470
применение	2	2581	240027
лекция	2	2583	292565
желудок	2	2584	955633
супруг	2	2586	678321
потребность	2	2587	511411
галстук	2	2588	932271
док	2	2590	659267
социализм	2	2591	190534
свадьба	2	2592	987525
соль	2	2598	588693
руль	2	2601	858411
мука	2	2602	620116
штат	2	2607	218789
бочок	2	2613	338841
скандал	2	2618	263668
завтрак	2	2619	619791
сиденье	2	2620	881741
версия	2	2621	441522
понимание	2	2622	123728
охотник	2	2626	356332
пустыня	2	2629	766948
речка	2	2631	819398
бревно	2	2633	883086
стрела	2	2635	227876
академия	2	2638	545301
промышленность	2	2640	580751
посуда	2	2642	201924
идиот	2	2643	350850
допрос	2	2649	126205
продажа	2	2654	287487
конфликт	2	2656	353235
свойство	2	2658	167259
кусочек	2	2662	290823
судно	2	2663	160726
рамка	2	2666	541864
карандаш	2	2667	408615
собеседник	2	2668	359509
бригадир	2	2669	207827
грохот	2	2674	735190
драка	2	2675	814221
мак	2	2676	822928
